"Date","STSR","No. images","STSR_ID","SST"
2014-01-02,1,0,NA,16.4
2014-01-11,1,0,NA,17.8
2014-01-11,1,0,NA,17.8
2014-01-12,1,0,NA,18.4
2014-02-02,1,0,NA,19.7
2014-02-02,1,0,NA,19.7
2014-02-07,1,0,NA,18.1
2014-04-10,1,0,NA,17.2
2014-04-15,1,0,NA,18.2
2014-04-16,1,0,NA,16.2
2014-05-19,1,0,NA,16
2014-06-24,1,0,NA,15.7
2014-06-28,1,0,NA,15.5
2014-06-29,1,0,NA,15.8
2014-07-03,1,0,NA,16
2014-09-09,1,0,NA,15.8
2014-09-10,1,0,NA,15.8
2014-09-12,1,0,NA,15.4
2014-09-20,1,0,NA,14.9
2014-09-26,1,0,NA,15.7
2014-09-28,1,0,NA,15.7
2014-09-30,1,0,NA,15.8
2014-12-19,1,4,"STSR001",17.6
2014-12-20,1,4,"STSR001",17.7
2014-12-22,1,0,NA,18
2014-12-27,1,10,"STSR001",19.7
2014-12-28,1,3,"STSR002",19.3
2014-12-28,1,0,NA,19.3
2014-12-29,1,0,NA,19.1
2015-01-07,1,0,NA,19.6
2015-01-08,1,1,"STSR002",19.7
2015-01-08,1,0,NA,20
2015-01-18,1,1,"STSR002",16
2015-01-20,1,0,NA,16.8
2015-01-27,1,0,NA,16.2
2015-02-06,1,0,NA,18.1
2015-02-08,1,2,"STSR002",17.5
2015-02-09,1,1,"STSR001",17.8
2015-02-14,1,0,NA,19.2
2015-03-27,1,0,NA,15.6
2015-03-27,1,1,"STSR001",15.4
2015-04-30,1,0,NA,13.8
2015-05-01,1,1,"STSR002",16.8
2015-05-02,1,0,NA,16.4
2015-05-03,1,2,"STSR002",16.5
2015-05-03,1,0,NA,16.6
2015-05-04,1,4,"STSR002",17.3
2015-05-06,1,1,"STSR002",16.6
2015-05-06,1,1,"STSR001",17
2015-05-08,1,0,NA,16.3
2015-05-08,1,0,NA,16.4
2015-05-09,1,3,"STSR001",16
2015-05-09,1,0,NA,16.2
2015-05-10,1,0,NA,15.4
2015-05-27,1,2,"STSR001",15.6
2015-06-05,1,3,"STSR001",15
2015-06-06,1,0,NA,15.1
2015-06-22,1,2,"STSR002",14.5
2015-06-23,1,0,NA,14.5
2015-09-03,1,2,"STSR001",14.3
2015-09-04,1,0,NA,13.7
2015-10-13,1,1,"STSR002",16.9
2015-11-10,1,0,NA,18
2015-11-16,1,0,NA,18.4
2015-11-16,1,3,"STSR002",18.4
2015-11-17,1,0,NA,18.1
2015-11-17,1,3,"STSR002",18.5
2015-11-18,1,0,NA,18.5
2015-11-18,1,1,NA,18.4
2015-11-19,1,0,NA,18.2
2015-11-22,1,0,NA,18
2015-11-22,1,3,NA,18.2
2015-11-23,1,0,NA,17
2016-01-02,1,0,NA,19.8
2016-01-02,1,2,"STSR002",NA
2016-01-02,1,0,NA,20.1
2016-01-03,1,1,NA,19
2016-01-03,1,2,NA,19.4
2016-01-03,1,2,"STSR002",18.7
2016-01-29,1,3,"STSR001",19.5
2016-01-30,1,5,"STSR001",19.6
2016-02-03,1,6,"STSR001",14.9
2016-02-18,1,1,NA,15.4
2016-02-29,1,0,NA,17.3
2016-03-01,1,3,NA,17.4
2016-03-02,1,0,NA,19.5
2016-03-06,1,0,NA,18
2016-03-09,1,4,"STSR001",17.1
2016-03-10,1,6,"STSR001",16.9
