"Date","New_Loc","STSR","Depth","SST","Trip"
2014-01-02,"Joubertsdam",0,10,18.2,1
2014-01-02,"Joubertsdam",0,10,17.8,2
2014-01-02,"Joubertsdam",1,10,16.4,3
2014-01-03,"Joubertsdam",0,8.7,16.6,1
2014-01-03,"Joubertsdam",0,8.7,17.5,2
2014-01-03,"Joubertsdam",0,8.7,16.6,3
2014-01-04,"Joubertsdam",0,13,17.6,1
2014-01-04,"Joubertsdam",0,13,17.1,2
2014-01-04,"Joubertsdam",0,8.9,16,3
2014-01-05,"Joubertsdam",0,8.2,17.8,1
2014-01-05,"Joubertsdam",0,8.2,17.8,2
2014-01-08,"Joubertsdam",0,12.5,16.2,1
2014-01-08,"Joubertsdam",0,12.5,16.4,2
2014-01-09,"Joubertsdam",0,8.3,17,1
2014-01-09,"Joubertsdam",0,8.3,17,2
2014-01-10,"Joubertsdam",0,8.3,17.3,1
2014-01-10,"Joubertsdam",0,8.3,17.3,2
2014-01-10,"Joubertsdam",0,8.3,17.3,3
2014-01-11,"Joubertsdam",1,10.1,17.8,1
2014-01-11,"Joubertsdam",1,10.1,17.8,2
2014-01-11,"Joubertsdam",0,10,17.8,3
2014-01-12,"Joubertsdam",1,10.8,18.4,1
2014-01-12,"Joubertsdam",0,10.8,18.4,2
2014-01-12,"Joubertsdam",0,10.8,18.4,3
2014-01-13,"Joubertsdam",0,11.8,19,1
2014-01-13,"Joubertsdam",0,11.8,19,2
2014-01-14,"Joubertsdam",0,12,15.1,1
2014-01-14,"Joubertsdam",0,12,15.1,2
2014-01-15,"Joubertsdam",0,11.3,15.6,1
2014-01-15,"Joubertsdam",0,11.3,15.6,2
2014-01-16,"Joubertsdam",0,12.5,16.5,1
2014-01-16,"Joubertsdam",0,12.5,16.5,2
2014-01-17,"Joubertsdam",0,7.5,17.7,1
2014-01-18,"Joubertsdam",0,12,18.6,1
2014-01-19,"Joubertsdam",0,11.2,16.4,1
2014-01-19,"Joubertsdam",0,11.2,16.4,2
2014-01-20,"Joubertsdam",0,6.8,16.3,1
2014-01-20,"Joubertsdam",0,6.8,16.3,2
2014-01-21,"Joubertsdam",0,12.5,15.9,1
2014-01-21,"Joubertsdam",0,12.5,15.9,2
2014-01-22,"Joubertsdam",0,7.8,14.2,1
2014-01-23,"Joubertsdam",0,11,15.1,1
2014-01-24,"Joubertsdam",0,10,15.1,1
2014-01-25,"Joubertsdam",0,10,19.4,1
2014-01-25,"Joubertsdam",0,10,19.4,2
2014-01-26,"Joubertsdam",0,8,18.6,1
2014-01-26,"Joubertsdam",0,8,18.6,2
2014-01-27,"Joubertsdam",0,10.1,17.7,1
2014-01-27,"Joubertsdam",0,10.1,17.7,2
2014-01-28,"Joubertsdam",0,13.1,19.3,1
2014-01-28,"Joubertsdam",0,13.1,18.8,2
2014-01-29,"Joubertsdam",0,11.9,19.7,1
2014-01-29,"Joubertsdam",0,11.9,20.4,2
2014-01-30,"Joubertsdam",0,10.1,20.7,1
2014-01-30,"Joubertsdam",0,10.1,20.7,2
2014-01-31,"Joubertsdam",0,7.5,18.3,1
2014-01-31,"Joubertsdam",0,7.5,18.3,2
2014-02-01,"Joubertsdam",0,7.5,17.1,1
2014-02-02,"Joubertsdam",1,9.3,19.7,1
2014-02-02,"Joubertsdam",1,9.3,19.7,2
2014-02-03,"Joubertsdam",0,10.3,13.5,1
2014-02-03,"Joubertsdam",0,NA,19.5,2
2014-02-04,"Joubertsdam",0,10.1,18.9,1
2014-02-04,"Joubertsdam",0,10.2,19,2
2014-02-05,"Joubertsdam",0,NA,19.4,1
2014-02-06,"Joubertsdam",0,11.5,18.7,1
2014-02-06,"Joubertsdam",0,11.5,18.7,2
2014-02-07,"Joubertsdam",0,10.8,18.1,1
2014-02-07,"Joubertsdam",1,10.8,18.1,2
2014-02-08,"Joubertsdam",0,11.8,18.3,1
2014-02-08,"Joubertsdam",0,11.8,18.6,2
2014-02-09,"Joubertsdam",0,12.4,19.5,1
2014-02-09,"Joubertsdam",0,12.4,19.5,2
2014-02-10,"Joubertsdam",0,7.5,19.9,1
2014-02-11,"Joubertsdam",0,9.3,20.3,1
2014-02-11,"Joubertsdam",0,9.3,20.5,2
2014-02-12,"Joubertsdam",0,10.6,21.4,1
2014-02-13,"Joubertsdam",0,8.9,21.5,1
2014-02-15,"Joubertsdam",0,9.2,17,1
2014-02-15,"Joubertsdam",0,9.2,17,2
2014-02-16,"Joubertsdam",0,7.5,15.8,1
2014-02-16,"Joubertsdam",0,7.5,15.8,2
2014-02-17,"Joubertsdam",0,10.4,14,1
2014-02-18,"Joubertsdam",0,NA,15,1
2014-02-19,"Joubertsdam",0,10,12.9,1
2014-02-20,"Joubertsdam",0,10,14.1,1
2014-02-20,"Joubertsdam",0,10,14.1,2
2014-02-21,"Joubertsdam",0,10.6,15.4,1
2014-02-21,"Joubertsdam",0,10.6,15.4,2
2014-02-22,"Joubertsdam",0,8.4,14.7,1
2014-02-22,"Joubertsdam",0,8.4,14.7,2
2014-02-22,"Joubertsdam",0,8.4,14.7,3
2014-02-23,"Joubertsdam",0,10.2,15.1,1
2014-02-23,"Joubertsdam",0,10.2,15.1,2
2014-02-24,"Joubertsdam",0,10.8,14.5,1
2014-02-24,"Joubertsdam",0,10.8,14.5,2
2014-02-25,"Joubertsdam",0,11.2,12.2,1
2014-02-26,"Joubertsdam",0,9.8,12.5,1
2014-02-27,"Joubertsdam",0,11.5,12.7,1
2014-02-28,"Joubertsdam",0,11.1,11.2,1
2014-02-28,"Joubertsdam",0,11.1,11.2,2
2014-03-03,"Joubertsdam",0,10.1,13.8,1
2014-03-03,"Joubertsdam",0,10.1,13.8,2
2014-03-04,"Joubertsdam",0,9.6,14.2,1
2014-03-04,"Joubertsdam",0,9.6,14.2,2
2014-03-05,"Joubertsdam",0,9.5,14.7,1
2014-03-05,"Joubertsdam",0,9.5,14.7,2
2014-03-06,"Joubertsdam",0,11.7,15.1,1
2014-03-06,"Joubertsdam",0,10.6,15.1,2
2014-03-07,"Joubertsdam",0,11.1,16.6,1
2014-03-08,"Joubertsdam",0,10.3,16.5,1
2014-03-08,"Joubertsdam",0,11,16.7,2
2014-03-09,"Joubertsdam",0,11.4,16.6,1
2014-03-10,"Joubertsdam",0,9.5,14.5,1
2014-03-11,"Joubertsdam",0,10.5,15,1
2014-03-11,"Joubertsdam",0,10.5,15,2
